Feature\Product;0;1;2;3;4;5;6;7;8;9;
german;X;X;-;X;X;-;-;-;-;-;
storm_alert;X;X;-;-;X;X;-;-;-;-;
plain_text;X;-;-;-;-;-;-;X;-;X;
web_server;-;-;X;X;-;X;-;-;-;X;
format;X;X;X;X;X;X;X;X;X;X;
language;X;X;X;X;X;X;X;X;X;X;
pressure;X;X;X;-;-;-;X;-;X;-;
demo;-;X;-;-;-;X;X;-;-;X;
data_source;X;X;X;X;X;X;X;X;X;X;
external_services;-;-;X;-;X;-;-;X;-;-;
freeze_point;X;-;X;-;-;X;-;-;X;-;
weather_station;X;X;X;X;X;X;X;X;X;X;
file;-;X;-;-;-;-;-;X;X;-;
output_format;X;X;X;X;X;X;X;X;X;X;
xml;-;X;X;X;-;-;-;-;-;-;
alarm;X;X;X;-;X;X;-;-;X;-;
temperature;X;-;X;-;-;X;-;X;X;-;
english;-;-;X;-;-;X;X;X;X;X;
wind_speed;-;X;-;X;X;X;-;-;X;X;
html;-;-;-;-;X;X;X;-;X;-;
text;X;-;-;-;X;-;X;-;-;-;
internet;X;-;-;X;-;-;-;-;X;-;
measurements;X;X;X;X;X;X;X;X;X;X;
